"時間軸(年次) コード","時間軸(年次) 補助コード","時間軸(年次)","都道府県・市部－郡部－市区町村別 コード","都道府県・市部－郡部－市区町村別 補助コード","都道府県・市部－郡部－市区町村別","/人口動態総覧","出生数【人】","2500g未満出生数【人】","死亡数【人】","乳児（１歳未満）死亡数【人】","新生児（生後4週未満）死亡数【人】","自然死産数【胎】","人工死産数【胎】","周産期死亡数【胎・人】","妊娠満22週以後の死産数【胎】","早期新生児（生後1週未満）死亡数【人】","婚姻件数【組】","離婚件数【組】"
"2023000000","","2023年","01363","","厚沢部町","","6","-","69","-","-","-","-","-","-","-","4","6"
"2023000000","","2023年","01364","","乙部町","","7","-","68","-","-","1","-","-","-","-","8","2"
"2023000000","","2023年","01367","","奥尻町","","8","-","35","-","-","-","-","-","-","-","11","-"
"2023000000","","2023年","01370","","今金町","","20","-","102","-","-","-","-","-","-","-","9","5"
"2023000000","","2023年","01371","","せたな町","","22","1","168","-","-","-","-","-","-","-","12","7"
"2023000000","","2023年","01391","","島牧村","","6","1","22","-","-","-","-","-","-","-","4","-"
"2023000000","","2023年","01392","","寿都町","","12","3","64","-","-","-","-","-","-","-","4","3"
"2023000000","","2023年","01393","","黒松内町","","17","3","77","-","-","-","1","-","-","-","9","3"
"2023000000","","2023年","01394","","蘭越町","","12","-","79","-","-","1","-","-","-","-","13","4"
"2023000000","","2023年","01395","","ニセコ町","","25","3","49","-","-","1","-","-","-","-","11","8"
"2023000000","","2023年","01396","","真狩村","","17","2","26","-","-","-","-","-","-","-","5","1"
"2023000000","","2023年","01397","","留寿都村","","9","1","24","-","-","-","-","-","-","-","4","2"
"2023000000","","2023年","01398","","喜茂別町","","10","2","38","-","-","-","-","-","-","-","7","2"
"2023000000","","2023年","01399","","京極町","","15","4","48","-","-","-","-","-","-","-","3","4"
"2023000000","","2023年","01400","","倶知安町","","103","10","170","-","-","-","-","-","-","-","77","26"
"2023000000","","2023年","01401","","共和町","","31","4","77","-","-","-","2","-","-","-","22","8"
"2023000000","","2023年","01402","","岩内町","","42","4","233","-","-","1","-","1","1","-","42","14"
"2023000000","","2023年","01403","","泊村","","6","2","32","-","-","-","-","-","-","-","6","1"
"2023000000","","2023年","01404","","神恵内村","","-","-","20","-","-","-","-","-","-","-","1","-"
"2023000000","","2023年","01405","","積丹町","","4","-","60","-","-","-","-","-","-","-","-","2"
"2023000000","","2023年","01406","","古平町","","5","2","56","-","-","-","-","-","-","-","6","2"
"2023000000","","2023年","01407","","仁木町","","13","-","67","-","-","-","1","-","-","-","7","5"
"2023000000","","2023年","01408","","余市町","","66","2","376","-","-","-","-","-","-","-","35","24"
"2023000000","","2023年","01409","","赤井川村","","4","-","14","-","-","-","-","-","-","-","3","2"
"2023000000","","2023年","01423","","南幌町","","38","4","112","-","-","-","-","-","-","-","8","16"
"2023000000","","2023年","01424","","奈井江町","","21","1","100","-","-","-","-","-","-","-","11","7"
"2023000000","","2023年","01425","","上砂川町","","2","-","71","-","-","-","-","-","-","-","3","5"
"2023000000","","2023年","01427","","由仁町","","18","3","97","-","-","-","-","-","-","-","6","5"
"2023000000","","2023年","01428","","長沼町","","37","3","189","-","-","1","-","-","-","-","26","11"
"2023000000","","2023年","01429","","栗山町","","42","7","213","-","-","2","1","-","-","-","23","7"
"2023000000","","2023年","01430","","月形町","","11","1","64","-","-","-","-","-","-","-","6","3"
"2023000000","","2023年","01431","","浦臼町","","7","1","38","-","-","-","-","-","-","-","2","1"
"2023000000","","2023年","01432","","新十津川町","","26","2","121","-","-","-","-","-","-","-","9","11"
"2023000000","","2023年","01433","","妹背牛町","","4","-","71","-","-","-","-","-","-","-","4","1"
"2023000000","","2023年","01434","","秩父別町","","10","-","45","-","-","-","-","-","-","-","10","-"
"2023000000","","2023年","01436","","雨竜町","","8","-","46","-","-","-","-","-","-","-","5","-"
"2023000000","","2023年","01437","","北竜町","","4","1","30","-","-","-","-","-","-","-","3","3"
"2023000000","","2023年","01438","","沼田町","","13","2","55","-","-","-","-","-","-","-","9","1"
"2023000000","","2023年","01452","","鷹栖町","","29","3","103","-","-","2","-","1","1","-","12","11"
