種類,価格情報区分,area_code,都道府県名,地区名,最寄駅：名称,distance,price,間取り,面積（㎡）,built_year,建物の構造,用途,今後の利用目的,都市計画,建ぺい率（％）,容積率（％）,year,改装,取引の事情等,時間軸(年次) 補助コード,都道府県・市部－郡部－市区町村別 補助コード,出生数【人】,2500g未満出生数【人】,死亡数【人】,乳児（１歳未満）死亡数【人】,新生児（生後4週未満）死亡数【人】,自然死産数【胎】,人工死産数【胎】,周産期死亡数【胎・人】,妊娠満22週以後の死産数【胎】,早期新生児（生後1週未満）死亡数【人】,婚姻件数【組】,離婚件数【組】
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,5,11000000,４ＬＤＫ,80,1995,ＳＲＣ,住宅,住宅,１低住専,60,200,2017,未改装,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),23,6500000,３ＬＤＫ,75,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2017,未改装,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),20,5800000,３ＬＤＫ,80,1992,ＳＲＣ,住宅,住宅,１中住専,60,200,2017,未改装,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,福田,東貝塚,8,17000000,３ＬＤＫ,80,2002,ＲＣ,住宅,住宅,準工業,60,200,2017,未改装,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,堀,貝塚(大阪),14,6200000,３ＬＤＫ,65,1993,ＲＣ,,住宅,１種住居,60,200,2017,未改装,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,南町,貝塚(大阪),10,11000000,４ＬＤＫ,70,1990,ＲＣ,住宅,住宅,１種住居,60,200,2017,改装済み,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,南町,貝塚(大阪),8,6200000,４ＬＤＫ,60,1990,ＲＣ,住宅,住宅,１種住居,60,200,2017,改装済み,,,,624,63,918,1,1,10,13,4,3,1,350,185
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),2,19000000,３ＬＤＫ,70,2003,ＳＲＣ,住宅,住宅,商業,80,400,2015,改装済み,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,浦田,二色浜,2,12000000,２ＬＤＫ,65,2000,ＲＣ,住宅,住宅,近隣商業,80,300,2015,未改装,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,王子,和泉橋本,9,7500000,３ＬＤＫ,60,1996,ＲＣ,住宅,住宅,１種住居,60,200,2015,未改装,,,,728,69,861,2,0,7,13,2,2,0,352,207
